OBJECTID,Shape,imperdible,cod_comuna,direccion,barrio,latitud,longitud,cod,nombre_sitio,tipo_atractivo,orden_visualizacion,sitio_web,nombre_comuna,cod_barrio,x_origen_nacional,y_origen_nacional
56,"(4718619.379100001, 2254235.4591999985)",NO,01,CR 33B No. 107A - 101,Santo Domingo Savio No.1,6.29467773,-75.54412842,AT056,Parque Biblioteca España,Biblioteca,82, ,Popular,0101,4718619.3791,2254235.4592
57,"(4715974.1941, 2249293.0613)",NO,10,CL 50 con CR 50,La Candelaria,6.24987793,-75.56781006,AT057,Parque de Berrío,Parque urbano,58, ,La Candelaria,1019,4715974.1941,2249293.0613
58,"(4716333.983000001, 2249649.115600003)",NO,10,CL 54 con la CR 48,Villa Nueva,6.25311279,-75.5645752,AT058,Parque de Bolívar,Parque urbano,60, ,La Candelaria,1018,4716333.983,2249649.1156
59,"(4715588.0754, 2244920.1972000003)",NO,14,CL 10 con CR 43A,Astorga,6.21032715,-75.57110596,AT059,Parque de El Poblado,Parque urbano,22, ,El Poblado,1420,4715588.0754,2244920.1972
60,"(4716186.921099999, 2251351.1198999994)",NO,04,CL 73 con CR 52,Sevilla,6.26849365,-75.565979,AT060,Parque de los Deseos,Parque urbano,76,https://www.medellin.travel/parque-de-los-deseos-y-casa-de-la-musica/,Aranjuez,0407,4716186.9211,2251351.1199
61,"(4714944.5359, 2248724.2459999993)",NO,10,CR 58 No. 42-125,La Alpujarra,6.24468994,-75.5770874,AT061,Parque de los Pies Descalzos,Parque urbano,86,https://www.medellin.travel/parque-de-los-pies-descalzos/,La Candelaria,Inst_16,4714944.5359,2248724.246
62,"(4716228.3118, 2251526.447100004)",SI,04,CR 52 No. 73-75,Parque Norte,6.27008057,-75.56561279,AT062,Parque Explora,Parque temático y recreativo,95,https://www.medellin.travel/parque-explora/?lang=en,Aranjuez,Inst_9,4716228.3118,2251526.4471
63,"(4715674.5933, 2244649.7310000025)",NO,14,CR 43 A con CL 7 D,La Florida,6.20788574,-75.5703125,AT063,Parque Lineal La Presidenta,Parque urbano,28, ,El Poblado,1417,4715674.5933,2244649.731
64,"(4715952.2481, 2244783.4065000024)",NO,14,CL 10 con carrerra 40,El Poblado,6.20910644,-75.56781006,AT064,Parque Lleras,Parque urbano,80,https://www.medellin.travel/parque-lleras/,El Poblado,1418,4715952.2481,2244783.4065
65,"(4714322.8779, 2251448.037200002)",NO,07,CR 65 No. 67 - 51,Ecoparque Cerro El Volador,6.26928711,-75.58282471,AT065,Parque Natural Metropolitano Cerro El Volador,Cerro,54,https://www.medellin.travel/parque-natural-cerro-el-volador/,Robledo,Inst_7,4714322.8779,2251448.0372
