OBJECTID,Shape,nombre,label,estado,fecha_adopcion,fecha_actualizacion,Shape_Length
85,"(4710630.5464570075, 2249768.316284917)",Carrera 96,Carrera 96,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,736.1142480156986
86,"(4711793.165417705, 2247131.917055866)",Carrera 83,Carrera 83,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,392.75203940444976
87,"(4710718.302415093, 2252480.685289249)",Via al Mar,Via al Mar,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,5004.1782068375105
88,"(4711933.210450753, 2253389.6766257756)",Ruta de Campeones,Ruta de Campeones,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,5092.513446031766
89,"(4713728.6685212795, 2252467.3631503237)",Carrera 83,Carrera 83,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,1769.7092361549985
90,"(4714531.234817386, 2252839.78430131)",Calle 80,Calle 80,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,2093.9054825540857
91,"(4714963.368904049, 2254853.0363119175)",Carrera 76,Carrera 76,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,2811.4427742480048
92,"(4714089.275188149, 2253808.271377103)",Carrera 83,Carrera 83,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,483.5091477232604
93,"(4715364.775076071, 2254363.798790843)",Calle 99,Calle 99,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,1219.4802488720595
94,"(4715716.806574426, 2255547.963684975)",Corredor Noroccidental,Carrera 74,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,1241.275223499041
95,"(4714848.46088669, 2253479.3247563383)",Corredor Noroccidental,Carrera 74,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,3889.7156370778616
96,"(4715804.470550097, 2254986.2409083215)",Calle 104,Calle 104,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,1371.2779535570212
97,"(4715914.662468593, 2255798.7986739534)",Calle 113,Calle 113,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,884.2255957347123
98,"(4715444.136109543, 2252672.211216602)",Carrera 65,Carrera 65,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,4981.399452262098
