OBJECTID,Shape,nombre,quebrada_asociada,dominio,funcion,categoria,subcategoria,jerarquia,orden,direccion_referencia,cbml,id_zona,accion,Shape_Length,Shape_Area
53,"(4716855.841294334, 2254146.5623129085)",Ecoparque Santa Cruz,Q. Santa Cruz,Bienes de uso público,Parques,Ecoparque,Ecoparque de quebrada y otros cuerpos de agua,Nivel Comunal/ Suburbano Nivel 1,Local,Calle 100C 51A,02100100138,58,Mantenimiento,289.38654184667536,1663.0288256159133
54,"(4711944.030736348, 2245079.5760784005)",Ecoparque La Pabón,Q. La Pabón,Bienes de uso público,Parques,Ecoparque,Ecoparque de quebrada y otros cuerpos de agua,Nivel Comunal/ Suburbano Nivel 1,Local,Calle 2B 81A,16100240010,53,Mantenimiento,260.4388244255049,1298.7086334222522
55,"(4713099.321398344, 2246968.0699899932)",Ecoparque Altavista 2,Q. Altavista,Bienes de uso público,Parques,Ecoparque,Ecoparque de quebrada y otros cuerpos de agua,Nivel Comunal/ Suburbano Nivel 1,Local,Calle 27A 76,16050920001,38,Mantenimiento,1193.6431561594816,8671.46722859864
56,"(4716777.742989279, 2253414.271933703)",Ecoparque El Aguacate,Q. El Aguacate,Bienes de uso público,Parques,Ecoparque,Ecoparque de quebrada y otros cuerpos de agua,Nivel Comunal/ Suburbano Nivel 1,Local,Carrera 51 95,04020230053,42,Mantenimiento,166.1694258250773,904.5321285976545
57,"(4713963.088874682, 2245951.58191859)",Ecoparque La Guayabala - Canino,Q. La Guayabala,Bienes de uso público,Parques,Ecoparque,Ecoparque de quebrada y otros cuerpos de agua,Nivel Comunal/ Suburbano Nivel 1,Local,Carrera 65G 14,15040030001,51,Mantenimiento,358.35771346364436,8294.068675736382
58,"(4711655.898743018, 2249065.170277335)",Ecoparque Ana Díaz 2,Q. Ana Díaz,Bienes de uso público,Parques,Ecoparque,Ecoparque de quebrada y otros cuerpos de agua,Nivel Comunal/ Suburbano Nivel 1,Local,Calle 42B 84A,12110240063,39,Mantenimiento,251.58455868941877,3046.9500221713374
59,"(4716171.803434434, 2247648.8263076507)",Área de Recreación Urbana Cerro La Asomadera,No Aplica,Bienes de uso público,Parques,Ecoparque,Ecoparque de cerro y otros elementos del sistema orográfico,Nivel Comunal/ Suburbano Nivel 1,Local,Carrera 43A 38,10200270007,37,Mantenimiento,4923.08091234688,252410.74166686644
60,"(4714446.16698392, 2251208.701848255)",Parque Natural Metropolitano Cerro El Volador,No Aplica,Bienes de uso público,Parques,Ecoparque,Ecoparque de cerro y otros elementos del sistema orográfico,Nivel Comunal/ Suburbano Nivel 1,Local,Carrera 65 67,07020010007,62,Mantenimiento,6485.777427311402,996311.2922916224
61,"(4714597.581700232, 2247770.3960646116)",Área de Recreación Parque Ecológico Cerro Nutibara,No Aplica,Bienes de uso público,Parques,Ecoparque,Ecoparque de cerro y otros elementos del sistema orográfico,Nivel Comunal/ Suburbano Nivel 1,Local,Carrera 56 30A,16210060002,36,Mantenimiento,3095.5262911567124,285525.68749221304
62,"(4715770.198106401, 2243316.5912435898)",Ecoparque Ceylan,Q. La Volcana,Bienes de uso público,Parques,Ecoparque,Ecoparque de quebrada y otros cuerpos de agua,Nivel Comunal/ Suburbano Nivel 1,Local,Calle 7 sur 35,14150160003,63,Mantenimiento,629.0917053244921,13159.463911656589
