OBJECTID *,Nombre *,Tipo *,Dirección,Ciudad *,Shape *,latitud,longitud
2945,Imperio 70,Hotel,"Calle 46B con Carrera 70, Naranjal, Laureles-Estad",Medellín,Point Z,6.2518266,-75.587452
2946,Florida Nueva,Hotel,"Florida Nueva, Laureles-Estadio, Medellín, Antioqu",Medellín,Point Z,6.251009,-75.59098159999999
2947,70,Hotel,"Calle 46 con Carrera 69A, Naranjal, Laureles-Estad",Medellín,Point Z,6.251297000000001,-75.58775969999999
2948,Laureles Park,Hotel,"Calle 39D con Calle 39D 73, Laureles, Laureles-Est",Medellín,Point Z,6.2464217,-75.5932524
2949,Jardín,Hostel,"Laureles, Laureles-Estadio, Medellín, Antioquia",Medellín,Point Z,6.2427589,-75.5960745
2950,Saffire Suites,Hotel,"Avenida San Juan 2-98, Naranjal, Laureles-Estadio,",Medellín,Point Z,6.2467386,-75.5765696
2951,San Juan 70,Hotel,"Avenida San Juan, Bolivariana, Laureles-Estadio, M",Medellín,Point Z,6.2493316,-75.5902225
2952,Zona Blanca,Hotel,"Avenida San Juan 1-99, Bolivariana, Laureles-Estad",Medellín,Point Z,6.252255099999999,-75.60780059999999
2953,Hotel Los Molinos,Hostel,"Carrera 70A 45E 1-99, Florida Nueva, Laureles-Esta",Medellín,Point Z,6.250909699999999,-75.5888652
2954,Hotel Los Molinos,Hotel,"Carrera 70A 45E 1-99, Florida Nueva, Laureles-Esta",Medellín,Point Z,6.250909699999999,-75.5888652
2955,Verony,Hotel,"Circular 3 con Carrera 70, Bolivariana, Laureles-E",Medellín,Point Z,6.2458807,-75.589242
2956,Cabo de la Vela Hotel,Hotel,"Bolivariana, Laureles-Estadio, Medellín, Antioquia",Medellín,Point Z,6.2477611,-75.5902541
2957,The Wandering Paisa,Hostel,"Calle 44A 68A 100-148, Naranjal, Laureles-Estadio,",Medellín,Point Z,6.2499009,-75.5877065
2958,Hotel Quinta Avenida,Hotel,"Circular 5 Carrera 69 52, Bolivariana, Laureles-Es",Medellín,Point Z,6.2471014,-75.58834999999999
2959,Lobby Park Hotel,Hotel,"Circular 3 con Circular 3 Carrera 71, Bolivariana,",Medellín,Point Z,No dirección,No dirección
2960,Hotel Ambar,Hotel,"Calle 41A 70, Bolivariana, Laureles-Estadio, Medel",Medellín,Point Z,6.2477189,-75.5894568
2961,Hotel Florida,Hotel,"Carrera 70 44A 150-198, Naranjal, Laureles-Estadio",Medellín,Point Z,6.2502662,-75.58870069999999
2962,Hotel Gaudí,Hotel,"Carrera 70 Circular 5 2-98, Bolivariana, Laureles-",Medellín,Point Z,6.245652499999999,-75.5894313
2963,Apartahotel Alcazar del Parque,Hotel,"Calle 40 con Calle 40 73, Laureles, Laureles-Estad",Medellín,Point Z,6.2466035,-75.59255279999999
2964,Hotel El Portón de San Joaquín,Hotel,"Calle 42 68A 2-98, San Joaquín, Laureles-Estadio, ",Medellín,Point Z,6.246974,-75.585161
2965,Gran Imperio,Hotel,"Avenida San Juan 1-99, San Joaquín, Laureles-Estad",Medellín,Point Z,6.252255099999999,-75.60780059999999
2966,Hotel Plaza 70,Hotel,"Carrera 70 44A 150-198, Naranjal, Laureles-Estadio",Medellín,Point Z,6.2502662,-75.58870069999999
2967,Hotel Los Faroles,Hotel,"Carrera 70 44A 150-198, Naranjal, Laureles-Estadio",Medellín,Point Z,6.2502662,-75.58870069999999
2968,Hotel Florida,Hotel,"Calle 44B 70, Florida Nueva, Laureles-Estadio, Med",Medellín,Point Z,6.2505783,-75.5892764
2969,Villa Real,Hotel,"Calle 47 70, Florida Nueva, Laureles-Estadio, Mede",Medellín,Point Z,6.2526853,-75.58753109999999
2970,Hotel Parque 70,Hotel,"Calle 46B 69 103-149, Naranjal, Laureles-Estadio, ",Medellín,Point Z,6.2517331,-75.587648
2971,Hotel Lincoln,Hotel,"Bolivariana, Laureles-Estadio, Medellín, Antioquia",Medellín,Point Z,6.2477611,-75.5902541
2972,Hotel Caseron Plaza,Hotel,"Carrera 74 43 1-99, Lorena, Laureles-Estadio, Mede",Medellín,Point Z,6.2491898,-75.59375539999999
2973,Villas de San Juan,Hotel,"Avenida San Juan, Bolivariana, Laureles-Estadio, M",Medellín,Point Z,6.2493316,-75.5902225
2974,Hotel Leuroz,Hotel,"Carrera 70A con Carrera 70A 43, Bolivariana, Laure",Medellín,Point Z,6.2487743,-75.5896321
2975,Hotel Villa Real,Hotel,"Carrera 70 44A 150-198, Naranjal, Laureles-Estadio",Medellín,Point Z,6.2502662,-75.58870069999999
2976,Hotel Imperio 70,Hotel,"Carrera 70 44A 150-198, Naranjal, Laureles-Estadio",Medellín,Point Z,6.2502662,-75.58870069999999
2977,Hotel Lukas,Hotel,"Carrera 70 44A 2-98, Naranjal, Laureles-Estadio, M",Medellín,Point Z,6.2502662,-75.58870069999999
2978,Barcelona Estadio,Hotel,"Avenida Antonio Roldan 1-99, Naranjal, Laureles-Es",Medellín,Point Z,6.2523921,-75.5816344
2979,Hosteria Mis Ancestros,Hostel,"Carrera 68 48 2-98, Suramericana, Laureles-Estadio",Medellín,Point Z,6.253018099999999,-75.5864244
2980,Guaracu,Hotel,"Carrera 75 42, Lorena, Laureles-Estadio, Medellín,",Medellín,Point Z,6.2487264,-75.5947839
2981,Finca Hotel en Jardín,Hotel,"Carrera 75 42, Lorena, Laureles-Estadio, Medellín,",Medellín,Point Z,6.2487264,-75.5947839
2982,Hotel Villa 70,Hotel,"Calle 44A 70, Florida Nueva, Laureles-Estadio, Med",Medellín,Point Z,6.2500827,-75.5892083
2983,Casa Hotel Cabellos Dorados,Hotel,"Carrera 72 Circular 5, Bolivariana, Laureles-Estad",Medellín,Point Z,6.246724899999999,-75.59171599999999
2984,Hotel Casa Blanca Laureles,Hotel,"Carrera 72 Circular 5, Bolivariana, Laureles-Estad",Medellín,Point Z,6.246724899999999,-75.59171599999999
2985,Hotel Egina,Hotel,"Naranjal, Laureles-Estadio, Medellín, Antioquia",Medellín,Point Z,6.250181299999999,-75.5844334
2986,Rodadero,Hotel,"Carrera 77A con Carrera 77A 45A, El Velódromo, Lau",Medellín,Point Z,6.2544246,-75.594918
2987,Lukas,Hotel,"Calle 44B con Carrera 70, Florida Nueva, Laureles-",Medellín,Point Z,6.250374799999999,-75.58856829999999
2988,Gaudi,Hotel,"Carrera 70 Circular 5 2-98, Bolivariana, Laureles-",Medellín,Point Z,6.245652499999999,-75.5894313
2989,Balcones de la 70,Hotel,"Carrera 70 Circular 2 2-98, Bolivariana, Laureles-",Medellín,Point Z,6.245652499999999,-75.5894313
2990,Hotel Laureles 70,Hotel,"Carrera 70 Circular 5 1-99, Bolivariana, Laureles-",Medellín,Point Z,6.245652499999999,-75.5894313
2991,Prince Plaza,Hotel,"Carrera 68A 44, Naranjal, Laureles-Estadio, Medell",Medellín,Point Z,6.2494051,-75.5868539
2992,Hotel Mediterraneo,Hotel,"Calle 41A 70 2-98, Bolivariana, Laureles-Estadio, ",Medellín,Point Z,6.2476804,-75.58899
2993,Girasol 70,Hotel,"Carrera 70 47, Naranjal, Laureles-Estadio, Medellí",Medellín,Point Z,6.2526481,-75.5876811
2994,Hotel Portico 70,Hotel,"Carrera 70 45E 2-98, Naranjal, Laureles-Estadio, M",Medellín,Point Z,6.251813299999999,-75.588302
2995,Plaza 70,Hotel,"Calle 46B con Carrera 70, Naranjal, Laureles-Estad",Medellín,Point Z,6.2518266,-75.587452
2996,Florida,Hotel,"Carrera 70 44A, Naranjal, Laureles-Estadio, Medell",Medellín,Point Z,6.2502662,-75.58870069999999
2997,La Floresta,Hostel,"Carrera 81 48A, Calasanz, La America, Medellín, An",Medellín,Point Z,6.2596975,-75.5985706
2998,Mi Terraza,Hostel,"Carrera 74 48 35, Unidad Deportiva Atanasio Girard",Medellín,Point Z,No dirección,No dirección
2999,Portal Marinillo,Hostel,"Carrera 74 48 27, Estadio, Laureles-Estadio, Medel",Medellín,Point Z,6.256682199999999,-75.5922803
3000,Porlón Estadio,Hotel,"Carrera 74 48 19, Estadio, Laureles-Estadio, Medel",Medellín,Point Z,6.2566786,-75.59230389999999
3001,TRYP HOTELS,Hotel,"Calle 50 70, Unidad Deportiva Atanasio Girardot, L",Medellín,Point Z,No dirección,No dirección
3002,Jardín N. 2,Hostel,"Carrera 80 49A con Carrera 80 49F, Estadio, Laurel",Medellín,Point Z,6.261375300000001,-75.5973704
3003,Calasanz Real,Hotel,"Calle 50 81, Calasanz, La America, Medellín, Antio",Medellín,Point Z,6.263940499999999,-75.5975254
3004,Molicie Hotel,Hotel,"Calle 54 con Carrera 77D, Los Colores, Laureles-Es",Medellín,Point Z,6.2670882,-75.59230640000001
3005,Su Casa Colombia,Hostel,"Calle 49A 76A 2-148, Estadio, Laureles-Estadio, Me",Medellín,Point Z,6.260037199999999,-75.5921126
3006,Molice Hotel,Hotel,"Los Colores, Laureles-Estadio, Medellín, Antioquia",Medellín,Point Z,6.2665446,-75.5924368
3007,Hotel Almar,Hotel,"Carrera 81 49A 2-98, Calasanz, La America, Medellí",Medellín,Point Z,6.2619699,-75.59788619999999
3008,Hotel Estadio Real,Hotel,"Carrera 77C 48 1-199, Estadio, Laureles-Estadio, M",Medellín,Point Z,6.2583554,-75.59550329999999
